,time_since_ri,wind_speed
224,-1 days +18:00:00,
225,0 days 00:00:00,9.13517951965332
226,0 days 06:00:00,17.913251876831055
227,0 days 18:00:00,17.205917358398438
228,1 days 00:00:00,16.965425491333008
229,1 days 06:00:00,
230,1 days 18:00:00,17.890958786010742
231,-1 days +06:00:00,
232,-1 days +12:00:00,
233,0 days 00:00:00,13.694952964782715
234,0 days 06:00:00,13.872389793395996
235,0 days 12:00:00,
236,1 days 00:00:00,15.157995223999023
237,1 days 12:00:00,
238,-1 days +06:00:00,
239,-1 days +18:00:00,13.694952964782715
240,0 days 00:00:00,13.872389793395996
241,0 days 06:00:00,
242,0 days 18:00:00,15.157995223999023
243,1 days 06:00:00,
244,1 days 18:00:00,26.233213424682617
245,-1 days +06:00:00,12.969794273376465
246,0 days 00:00:00,15.005297660827637
247,0 days 06:00:00,10.827354431152344
248,1 days 00:00:00,10.381281852722168
249,1 days 06:00:00,
250,-1 days +18:00:00,15.005297660827637
251,0 days 00:00:00,10.827354431152344
252,0 days 18:00:00,10.381281852722168
253,1 days 00:00:00,
254,1 days 12:00:00,7.599817276000977
255,-1 days +15:00:00,15.005297660827637
256,-1 days +21:00:00,10.827354431152344
257,0 days 15:00:00,10.381281852722168
258,0 days 21:00:00,
259,1 days 09:00:00,7.599817276000977
260,-1 days +18:00:00,41.00476837158203
261,0 days 00:00:00,61.726280212402344
262,0 days 12:00:00,
263,0 days 18:00:00,39.278167724609375
264,1 days 00:00:00,
265,1 days 12:00:00,32.5129508972168
266,-1 days +12:00:00,9.591768264770508
267,0 days 00:00:00,12.576497077941895
268,0 days 06:00:00,11.531816482543945
269,0 days 12:00:00,
270,1 days 00:00:00,12.300970077514648
271,1 days 06:00:00,
272,1 days 12:00:00,
273,-1 days +18:00:00,12.576497077941895
274,0 days 00:00:00,11.531816482543945
275,0 days 06:00:00,
276,0 days 18:00:00,12.300970077514648
277,1 days 00:00:00,
278,1 days 06:00:00,
279,-1 days +12:00:00,12.924935340881348
280,-1 days +18:00:00,11.400014877319336
281,0 days 00:00:00,7.846456050872803
282,0 days 12:00:00,10.732925415039062
283,0 days 18:00:00,10.992645263671875
284,1 days 00:00:00,28.744834899902344
285,1 days 12:00:00,12.706753730773926
286,-2 days +06:00:00,11.92669677734375
287,-2 days +18:00:00,
288,-1 days +00:00:00,10.338875770568848
289,-1 days +06:00:00,17.720510482788086
290,-1 days +18:00:00,15.114686965942383
291,0 days 00:00:00,14.352693557739258
292,0 days 06:00:00,14.505993843078613
293,0 days 18:00:00,21.88319206237793
294,1 days 00:00:00,
295,1 days 06:00:00,
296,1 days 18:00:00,
297,-3 days +21:00:00,8.163135528564453
298,-2 days +03:00:00,11.92669677734375
299,-2 days +15:00:00,
300,-2 days +21:00:00,10.338875770568848
301,-1 days +03:00:00,17.720510482788086
302,-1 days +15:00:00,15.114686965942383
303,-1 days +21:00:00,14.352693557739258
304,0 days 03:00:00,14.505993843078613
305,0 days 15:00:00,21.88319206237793
306,0 days 21:00:00,
307,1 days 03:00:00,
308,1 days 15:00:00,
309,-3 days +18:00:00,8.163135528564453
310,-2 days +00:00:00,11.92669677734375
311,-2 days +12:00:00,
312,-2 days +18:00:00,10.338875770568848
313,-1 days +00:00:00,17.720510482788086
314,-1 days +12:00:00,15.114686965942383
315,-1 days +18:00:00,14.352693557739258
316,0 days 00:00:00,14.505993843078613
317,0 days 12:00:00,21.88319206237793
318,0 days 18:00:00,
319,1 days 00:00:00,
320,1 days 12:00:00,
321,-3 days +15:00:00,8.163135528564453
322,-3 days +21:00:00,11.92669677734375
323,-2 days +09:00:00,
324,-2 days +15:00:00,10.338875770568848
325,-2 days +21:00:00,17.720510482788086
326,-1 days +09:00:00,15.114686965942383
327,-1 days +15:00:00,14.352693557739258
328,-1 days +21:00:00,14.505993843078613
329,0 days 09:00:00,21.88319206237793
330,0 days 15:00:00,
331,0 days 21:00:00,
332,1 days 09:00:00,
333,1 days 15:00:00,
334,-2 days +15:00:00,
335,-2 days +21:00:00,
336,-1 days +03:00:00,27.434391021728516
337,-1 days +15:00:00,13.44334888458252
338,-1 days +21:00:00,
339,0 days 03:00:00,10.051362991333008
340,0 days 15:00:00,
341,0 days 21:00:00,9.466087341308594
342,1 days 15:00:00,
343,-2 days +18:00:00,
344,-1 days +00:00:00,27.434391021728516
345,-1 days +12:00:00,13.44334888458252
346,-1 days +18:00:00,
347,0 days 00:00:00,10.051362991333008
348,0 days 12:00:00,
349,0 days 18:00:00,9.466087341308594
350,1 days 12:00:00,
351,1 days 18:00:00,16.078527450561523
352,-1 days +06:00:00,13.20889949798584
353,-1 days +18:00:00,
354,0 days 00:00:00,9.03252124786377
355,0 days 06:00:00,11.050881385803223
356,0 days 18:00:00,16.09063148498535
357,1 days 00:00:00,12.448076248168945
358,1 days 06:00:00,
359,1 days 18:00:00,
360,-1 days +12:00:00,
361,-1 days +18:00:00,9.03252124786377
362,0 days 00:00:00,11.050881385803223
363,0 days 12:00:00,16.09063148498535
364,0 days 18:00:00,12.448076248168945
365,1 days 00:00:00,
366,1 days 12:00:00,
367,1 days 18:00:00,10.054996490478516
368,-1 days +06:00:00,11.050881385803223
369,-1 days +18:00:00,16.09063148498535
370,0 days 00:00:00,12.448076248168945
371,0 days 06:00:00,
372,0 days 18:00:00,
373,1 days 00:00:00,10.054996490478516
374,1 days 06:00:00,
375,1 days 18:00:00,45.42022705078125
376,0 days 00:00:00,25.670856475830078
377,0 days 06:00:00,
378,0 days 18:00:00,9.90772533416748
379,1 days 00:00:00,
380,1 days 06:00:00,26.503219604492188
381,-1 days +06:00:00,9.736021041870117
382,-1 days +18:00:00,
383,0 days 00:00:00,9.61366081237793
384,0 days 06:00:00,
385,0 days 18:00:00,
386,1 days 00:00:00,9.63128662109375
